sr,latitude,longitude,valid_time,t2m,temp,tp
332,18.4,73.5,28-11-24,293.97787,20.82787,0
333,18.4,73.5,29-11-24,293.7816,20.6316,0
334,18.4,73.5,30-11-24,293.8619,20.7119,0
335,18.4,73.75,01-01-24,295.23834,22.08834,0
336,18.4,73.75,02-01-24,295.40576,22.25576,0
337,18.4,73.75,03-01-24,295.3609,22.2109,0
338,18.4,73.75,04-01-24,295.24313,22.09313,0
339,18.4,73.75,05-01-24,294.49252,21.34252,0
340,18.4,73.75,06-01-24,294.5599,21.4099,5.65E-06
341,18.4,73.75,07-01-24,295.3152,22.1652,9.58E-06
342,18.4,73.75,08-01-24,296.08218,22.93218,3.68E-05
343,18.4,73.75,09-01-24,295.07623,21.92623,4.78E-05
344,18.4,73.75,10-01-24,293.87082,20.72082,0.000116611
345,18.4,73.75,11-01-24,296.16473,23.01473,3.89E-06
346,18.4,73.75,12-01-24,296.19547,23.04547,0
347,18.4,73.75,13-01-24,296.66458,23.51458,0
348,18.4,73.75,14-01-24,296.11337,22.96337,0
349,18.4,73.75,15-01-24,294.53265,21.38265,0
350,18.4,73.75,16-01-24,293.64517,20.49517,0
351,18.4,73.75,17-01-24,293.79785,20.64785,0
352,18.4,73.75,18-01-24,292.8508,19.7008,0
353,18.4,73.75,19-01-24,293.22983,20.07983,0
354,18.4,73.75,20-01-24,294.19632,21.04632,0
355,18.4,73.75,21-01-24,294.1143,20.9643,0
356,18.4,73.75,22-01-24,293.9808,20.8308,0
357,18.4,73.75,23-01-24,292.86838,19.71838,0
358,18.4,73.75,24-01-24,292.3663,19.2163,0
359,18.4,73.75,25-01-24,292.58847,19.43847,0
360,18.4,73.75,26-01-24,293.73788,20.58788,0
361,18.4,73.75,27-01-24,294.74133,21.59133,0
362,18.4,73.75,28-01-24,295.5342,22.3842,0
363,18.4,73.75,29-01-24,295.5085,22.3585,0
364,18.4,73.75,30-01-24,295.22586,22.07586,0
365,18.4,73.75,31-01-24,295.4822,22.3322,0
366,18.4,73.75,01-02-24,289.6158,16.4658,0
367,18.4,73.75,02-02-24,,-273.15,
368,18.4,73.75,03-02-24,,-273.15,
369,18.4,73.75,04-02-24,,-273.15,
370,18.4,73.75,05-02-24,,-273.15,
371,18.4,73.75,06-02-24,,-273.15,
372,18.4,73.75,07-02-24,,-273.15,
373,18.4,73.75,08-02-24,,-273.15,
374,18.4,73.75,09-02-24,,-273.15,
375,18.4,73.75,10-02-24,,-273.15,
376,18.4,73.75,11-02-24,,-273.15,
377,18.4,73.75,12-02-24,,-273.15,
378,18.4,73.75,13-02-24,,-273.15,
379,18.4,73.75,14-02-24,,-273.15,
380,18.4,73.75,15-02-24,,-273.15,
381,18.4,73.75,16-02-24,,-273.15,
382,18.4,73.75,17-02-24,,-273.15,
383,18.4,73.75,18-02-24,,-273.15,
384,18.4,73.75,19-02-24,,-273.15,
385,18.4,73.75,20-02-24,,-273.15,
386,18.4,73.75,21-02-24,,-273.15,
387,18.4,73.75,22-02-24,,-273.15,
