latitude,longitude,valid_time,t2m,number
18.4,73.75,2024-07-20,296.31842,0
18.4,73.75,2024-07-21,296.52975,0
18.4,73.75,2024-07-22,296.11877,0
18.4,73.75,2024-07-23,296.1166,0
18.4,73.75,2024-07-24,295.908,0
18.4,73.75,2024-07-25,295.4548,0
18.4,73.75,2024-07-26,296.301,0
18.4,73.75,2024-07-27,296.64017,0
18.4,73.75,2024-07-28,296.6301,0
18.4,73.75,2024-07-29,296.75882,0
18.4,73.75,2024-07-30,297.08524,0
18.4,73.75,2024-07-31,297.09222,0
18.4,73.75,2024-08-01,296.17618,0
18.4,73.75,2024-08-02,,0
18.4,73.75,2024-08-03,,0
18.4,73.75,2024-08-04,,0
18.4,73.75,2024-08-05,,0
18.4,73.75,2024-08-06,,0
18.4,73.75,2024-08-07,,0
18.4,73.75,2024-08-08,,0
18.4,73.75,2024-08-09,,0
18.4,73.75,2024-08-10,,0
18.4,73.75,2024-08-11,,0
18.4,73.75,2024-08-12,,0
18.4,73.75,2024-08-13,,0
18.4,73.75,2024-08-14,,0
18.4,73.75,2024-08-15,,0
18.4,73.75,2024-08-16,,0
18.4,73.75,2024-08-17,,0
18.4,73.75,2024-08-18,,0
18.4,73.75,2024-08-19,,0
18.4,73.75,2024-08-20,,0
18.4,73.75,2024-08-21,,0
18.4,73.75,2024-08-22,,0
18.4,73.75,2024-08-23,,0
18.4,73.75,2024-08-24,,0
18.4,73.75,2024-08-25,,0
18.4,73.75,2024-08-26,,0
18.4,73.75,2024-08-27,,0
18.4,73.75,2024-08-28,,0
18.4,73.75,2024-08-29,,0
18.4,73.75,2024-08-30,,0
18.4,73.75,2024-08-31,,0
18.4,73.75,2024-09-01,297.0218,0
18.4,73.75,2024-09-02,296.19754,0
18.4,73.75,2024-09-03,296.66843,0
18.4,73.75,2024-09-04,296.97134,0
18.4,73.75,2024-09-05,296.631,0
18.4,73.75,2024-09-06,296.92868,0
18.4,73.75,2024-09-07,297.0364,0
18.4,73.75,2024-09-08,297.2416,0
18.4,73.75,2024-09-09,297.0343,0
18.4,73.75,2024-09-10,296.82834,0
18.4,73.75,2024-09-11,296.46854,0
18.4,73.75,2024-09-12,296.65244,0
18.4,73.75,2024-09-13,296.58594,0
18.4,73.75,2024-09-14,296.36972,0
18.4,73.75,2024-09-15,295.76874,0
18.4,73.75,2024-09-16,296.5162,0
18.4,73.75,2024-09-17,297.01712,0
18.4,73.75,2024-09-18,296.76257,0
18.4,73.75,2024-09-19,297.73572,0
18.4,73.75,2024-09-20,297.87152,0
18.4,73.75,2024-09-21,297.29868,0
18.4,73.75,2024-09-22,297.77213,0
18.4,73.75,2024-09-23,297.91586,0
18.4,73.75,2024-09-24,297.27945,0
18.4,73.75,2024-09-25,296.77823,0
18.4,73.75,2024-09-26,296.05933,0
18.4,73.75,2024-09-27,296.36542,0
18.4,73.75,2024-09-28,296.6039,0
18.4,73.75,2024-09-29,297.7798,0
18.4,73.75,2024-09-30,298.58722,0
18.4,73.75,2024-10-01,296.23633,0
18.4,73.75,2024-10-02,,0
18.4,73.75,2024-10-03,,0
18.4,73.75,2024-10-04,,0
18.4,73.75,2024-10-05,,0
18.4,73.75,2024-10-06,,0
18.4,73.75,2024-10-07,,0
18.4,73.75,2024-10-08,,0
18.4,73.75,2024-10-09,,0
18.4,73.75,2024-10-10,,0
18.4,73.75,2024-10-11,,0
18.4,73.75,2024-10-12,,0
18.4,73.75,2024-10-13,,0
18.4,73.75,2024-10-14,,0
18.4,73.75,2024-10-15,,0
18.4,73.75,2024-10-16,,0
18.4,73.75,2024-10-17,,0
18.4,73.75,2024-10-18,,0
18.4,73.75,2024-10-19,,0
18.4,73.75,2024-10-20,,0
18.4,73.75,2024-10-21,,0
18.4,73.75,2024-10-22,,0
18.4,73.75,2024-10-23,,0
18.4,73.75,2024-10-24,,0
18.4,73.75,2024-10-25,,0
18.4,73.75,2024-10-26,,0
18.4,73.75,2024-10-27,,0
18.4,73.75,2024-10-28,,0
18.4,73.75,2024-10-29,,0
18.4,73.75,2024-10-30,,0
18.4,73.75,2024-10-31,,0
18.4,73.75,2024-11-01,299.6529,0
18.4,73.75,2024-11-02,298.0549,0
18.4,73.75,2024-11-03,297.12344,0
18.4,73.75,2024-11-04,296.85965,0
18.4,73.75,2024-11-05,296.32303,0
18.4,73.75,2024-11-06,296.4938,0
18.4,73.75,2024-11-07,295.88864,0
18.4,73.75,2024-11-08,295.96494,0
18.4,73.75,2024-11-09,295.73077,0
18.4,73.75,2024-11-10,295.1616,0
18.4,73.75,2024-11-11,295.1929,0
18.4,73.75,2024-11-12,295.1657,0
18.4,73.75,2024-11-13,295.5891,0
18.4,73.75,2024-11-14,296.6481,0
18.4,73.75,2024-11-15,297.4117,0
18.4,73.75,2024-11-16,297.72665,0
18.4,73.75,2024-11-17,297.61057,0
18.4,73.75,2024-11-18,295.34872,0
18.4,73.75,2024-11-19,294.1636,0
18.4,73.75,2024-11-20,294.03152,0
18.4,73.75,2024-11-21,293.90836,0
18.4,73.75,2024-11-22,293.74426,0
18.4,73.75,2024-11-23,294.16043,0
18.4,73.75,2024-11-24,293.9133,0
18.4,73.75,2024-11-25,293.35382,0
18.4,73.75,2024-11-26,292.90384,0
18.4,73.75,2024-11-27,292.74924,0
18.4,73.75,2024-11-28,292.57425,0
18.4,73.75,2024-11-29,292.44058,0
18.4,73.75,2024-11-30,292.36465,0
